Journal title,Journal URL,Alternative title,Journal ISSN (print version),Journal EISSN (online version),Journal provides download statistics,Download statistics information URL,Journal license
Anais da Academia Brasileira de Ciências,http://www.scielo.br/scielo.php?pid=0001-3765&script=sci_serial,,0001-3765,,,,CC BY-NC
ACME,http://riviste.unimi.it/index.php/ACME,,0001-494X,2282-0035,,they are only for the site manager,CC BY-NC-ND
Acta Adriatica,http://jadran.izor.hr/acta/eng/,,0001-5113,1846-0453,,,
Acta Dermato-Venereologica,http://www.medicaljournals.se/acta,,0001-5555,1651-2057,,,
Acta Médica Costarricense,http://www.scielo.sa.cr/scielo.php?script=sci_serial&pid=0001-6002&lng=en&nrm=iso,,0001-6012,,,,
Acta Mycologica,https://pbsociety.org.pl/journals/index.php/am/index,,0001-625X,2353-074X,,,CC BY
Acta Societatis Botanicorum Poloniae,https://pbsociety.org.pl/journals/index.php/asbp,,0001-6977,2083-9480,,,CC BY
Acta Stomatologica Croatica,http://hrcak.srce.hr/index.php?show=casopis&id_casopis=6,,0001-7019,1846-0410,,,
Acta Veterinaria Brno,http://actavet.vfu.cz/,,0001-7213,1801-7576,,,CC BY
Africa Spectrum,http://hup.sub.uni-hamburg.de/giga/afsp,,0002-0397,1868-6869,,,CC BY-ND
Afro-Ásia,http://www.afroasia.ufba.br/,,0002-0591,,,,CC BY-ND
Proceedings of NAS RA : Mechanics ,http://www.flib.sci.am/eng/Mech/,,0002-3051,,,,
Alfa: Revista de Lingüística,http://www.scielo.br/scielo.php?script=sci_serial&pid=1981-5794&lng=en&nrm=iso,Alfa,0002-5216,1981-5794,Yes,http://www.scielo.br/statjournal.php?lang=en&issn=1981-5794,CC BY
Notices of the American Mathematical Society.,http://www.ams.org/notices/,,0002-9920,1088-9477,,,
Análise Social ,http://www.scielo.mec.pt/scielo.php?script=sci_serial&pid=0003-2573,,0003-2573,,,,
Angle Orthodontist,http://www.angleorthodontist.org/anglonline/?request=index-html,,0003-3219,,,,
Archives Animal Breeding,http://www.archives-animal-breeding.net/,Archiv Tierzucht,0003-9438,,Yes,http://archives-animal-breeding.net/about/article_level_metrics.html,CC BY
Archivo Español de Arte,http://xn--archivoespaoldearte-53b.revistas.csic.es/index.php/aea/index,,0004-0428,1988-8511,,,CC BY-NC
Archivos de Pediatría del Uruguay,http://www.scielo.edu.uy/scielo.php/script_sci_serial/pid_0004-0584/lng_en/nrm_iso,,0004-0584,1688-1249,,,
Archivos de Zootecnia,http://www.uco.es/organiza/servicios/publica/az/az.htm,,0004-0592,1885-4494,,,CC BY-SA
Arquivos Brasileiros de Oftalmologia,http://www.scielo.br/abo,,0004-2749,1678-2925,,,CC BY-NC
Arquivos de Gastroenterologia,http://www.scielo.br/ag,Archives of Gastroenterology,0004-2803,1678-4219,,,CC BY-NC
Arquivos de Neuro-Psiquiatria,http://www.scielo.br/scielo.php?pid=0004-282X&script=sci_serial,,0004-282X,1678-4227,,,CC BY-NC
Ars Pharmaceutica,http://scielo.isciii.es/scielo.php?script=sci_serial&pid=2340-9894&lng=es&nrm=iso,,0004-2927,2340-9894,Yes,http://scielo.isciii.es/statjournal.php?lang=es&issn=2340-9894,CC BY-NC-ND
Revista de la Asociación Geológica Argentina,http://www.scielo.org.ar/scielo.php/script_sci_serial/pid_0004-4822/lng_en/nrm_iso,,0004-4822,1851-8249,,,
Biblica : Commentarii ad rem Biblicam Scientifice Investigandam,http://www.bsw.org/project/biblica/,,0006-0887,,,,
Bibliotecas: Anales de Investigación,http://revistas.bnjm.cu/index.php/anales,,0006-176X,1683-8947,,,CC BY-NC-SA
"Bijdragen tot de Taal-, Land- en Volkenkunde ",http://booksandjournals.brillonline.com/content/journals/22134379,Journal of the Humanities and Social Sciences of Southeast Asia and Oceania,0006-2294,2213-4379,,,CC BY-NC
Boletín Cultural y Bibliográfico,http://publicaciones.banrepcultural.org/index.php/boletin_cultural,,0006-6184,,,,CC BY-NC-SA
Bothalia: African Biodiversity & Conservation,http://www.abcjournal.org,,0006-8241,2311-9284,Yes,http://www.abcjournal.org/index.php/ABC/issue/view/6,CC BY
Bragantia,http://www.scielo.br/scielo.php?pid=0006-8705&script=sci_serial,Revista de Ciências AgronômicasJournal of Agronomic Sciences,0006-8705,1678-4499,,,CC BY-NC
Brodogradnja,http://www.fsb.hr/brodogradnja,Shipbuilding,0007-215X,1845-5859,,http://hrcak.srce.hr,CC BY
California Agriculture,http://californiaagriculture.ucanr.org/archive.cfm,,0008-0845,2160-8091,,,
Časopis pro Moderní Filologii,http://casopispromodernifilologii.ff.cuni.cz/en/,Journal for Modern Philology,0008-7386,2336-6591,,,CC BY-NC-ND
Ciencias Administrativas,http://revistas.unlp.edu.ar/CADM,,0009-6784,2314-3738,,,CC BY
Collectanea Botanica,http://collectaneabotanica.revistas.csic.es,,0010-0730,1989-1067,,,CC BY-NC
College and Research Libraries,http://crl.acrl.org/,,0010-0870,2150-6701,,,
Croatica Chemica Acta,https://pubweb.carnet.hr/ccacaa/,,0011-1643,1334-417X,,,
Current Therapeutic Research,http://www.journals.elsevier.com/current-therapeutic-research/,,0011-393X,1879-0313,,,CC BY-NC-ND
Dados : Revista de Ciências Sociais,http://www.scielo.br/scielo.php?script=sci_serial&pid=0011-5258&lng=es&nrm=iso,,0011-5258,1678-4588,,,CC BY-NC
Bulletin of the Geological Society of Denmark,http://2dgf.dk/publikationer/bulletin/index.html,Meddelelser fra Dansk Geologisk Forening,0011-6297,2245-7070,,,
Defence Science Journal ,http://publications.drdo.gov.in/ojs/index.php/dsj/index,,0011-748X,0976-464X,,,
Deutsches Ärzteblatt,http://www.aerzteblatt.de/archiv/daetitel,,0012-1207,,,,
Drvna Industrija,http://hrcak.srce.hr/index.php?lang=hr&show=casopis&id_casopis=14,,0012-6772,1847-1153,,,CC BY-NC
Dyna,http://www.redalyc.org/revista.oa?id=496,,0012-7353,,,,
Economic Annals,http://www.doiserbia.nb.rs/journal.aspx?issn=0013-3264,,0013-3264,1820-7375,,,
Greek Review of Social Research,http://ejournals.epublishing.ekt.gr/index.php/ekke,Επιθεώρηση Κοινωνικών Ερευνών,0013-9696,2241-8512,Yes,http://ejournals.epublishing.ekt.gr/index.php/ekke/article/view/8679,CC BY-NC-SA
Építőanyag: Journal of Silicate Based and Composite Materials,http://en.epitoanyag.org.hu/,Építőanyag: JSBCM,0013-970X,2064-4477,,,CC BY-NC
DIE ERDE: Journal of the Geographical Society of Berlin,http://www.die-erde.org,,0013-9998,,,,CC BY
Estudios Geográficos,http://estudiosgeograficos.revistas.csic.es/index.php/estudiosgeograficos,,0014-1496,1988-8546,,,CC BY-NC
Fennia : International Journal of Geography,http://ojs.tsv.fi/index.php/fennia,,0015-0010,1798-5617,,,CC BY
Florida entomologist,http://www.fcla.edu/FlaEnt/,,0015-4040,,,,
Fluoride,http://www.fluorideresearch.org/,,0015-4725,2253-4083,,,
Geodetski List,http://hrcak.srce.hr/geodetski-list,,0016-710X,,,,
Geographica Helvetica,http://www.geographica-helvetica.net/,GH,0016-7312,2194-8798,Yes,http://www.geographica-helvetica.net/about/article_level_metrics.html,CC BY
Geologija ,http://www.geologija-revija.si,,0016-7789,1854-620X,,,
Grasas y Aceites,http://grasasyaceites.revistas.csic.es/index.php/grasasyaceites,,0017-3495,1988-4214,,,CC BY-NC
"Greek, Roman, and Byzantine Studies ",http://grbs.library.duke.edu/index,,0017-3916,2159-3159,,,CC BY
Hereditas,http://www.blackwellpublishing.com/journal.asp?ref=0018-0661&site=1,,0018-0661,1601-5223,,,
Hispania Sacra,http://hispaniasacra.revistas.csic.es/index.php/hispaniasacra/index,,0018-215X,1988-4265,,,CC BY-NC
Indian Journal of Anaesthesia,http://www.ijaweb.org,,0019-5049,0976-2817,,,CC BY-NC-SA
Indian Journal of Cancer,http://www.indianjcancer.com/,,0019-509X,1998-4774,,,
Indian Journal of Dermatology,http://www.e-ijd.org/,,0019-5154,1998-3611,,,CC BY-NC-SA
Indian Journal of Medical Sciences,http://www.indianjmedsci.org/,,0019-5359,1998-3654,,,CC BY-NC-SA
Indian Journal of Orthopaedics,http://www.ijoonline.com/,,0019-5413,1998-3727,,,CC BY-NC-SA
Indian Journal of Public Health,http://www.ijph.in,,0019-557X,2229-7693,,,CC BY-NC-SA
Informes de la Construccion,http://informesdelaconstruccion.revistas.csic.es,,0020-0883,1988-3234,,,CC BY-NC
Arquivos do Instituto Biológico,http://www.biologico.sp.gov.br/arquivos_bio.php,"Journal of Animal, Plant Sanity and Environmental Protection",0020-3653,1808-1657,,,CC BY-NC
Annali dell'Istituto Superiore di Sanità,http://www.iss.it/anna/,,0021-2571,2384-8553,,,
Jazykovedný Časopis ,http://www.degruyter.com/view/j/jazcas,Jazykovedny Casopis ,0021-5597,,,,CC BY
Jornal de Pediatria,http://www.scielo.br/jped,,0021-7557,1678-4782,Yes,http://www.scielo.br/statjournal.php?lang=en&issn=0021-7557,CC BY-NC-ND
Journal of Extension,http://www.joe.org/,JOE,0022-0140,1077-5315,,,
Journal of Genetics,http://www.ias.ac.in/jgenet/,,0022-1333,,,,
Journal of Postgraduate Medicine,http://www.jpgmonline.com/,,0022-3859,0972-2823,,,CC BY-NC-SA
Kemija u Industriji,http://www.hdki.hr/kui/,,0022-9830,1334-9090,,,
Knjižnica : Revija za Področje Bibliotekarstva in Informacijske Znanosti,http://knjiznica.zbds-zveza.si/index.php/knjiznica,Library : Journal for Library and Information Science,0023-2424,1581-7903,,,
Koers : Bulletin for Christian Scholarship,http://www.koersjournal.org.za,Koers : Bulletin vir Christelike Wetenskap,0023-270X,2304-8557,,,CC BY
Kybernetika,http://www.kybernetika.cz,,0023-5954,,,,
Landtechnik,http://www.landtechnik-online.eu,,,0023-8082,,,CC BY
Revista Lecciones y Ensayos,http://www.derecho.uba.ar/publicaciones/lye/index.php,,0024-0079,2362-4620,,,Publisher's own license
Linguistica,http://revije.ff.uni-lj.si/linguistica,,0024-3922,2350-420X,,,CC BY-SA
Magyar Nyelvőr : a Magyar Tudományos Akadémia Anyanyelvi Bizottságának Folyóirata,http://nyelvor.c3.hu/,,0025-0236,1585-4515,,,
Maydica,http://www.maydica.org,,0025-6153,2279-8013,,,
Medicina (Buenos Aires),http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0025-7680&lng=es&nrm=iso,,0025-7680,1669-9106,,,
Medicina,http://hrcak.srce.hr/medicina,Medicina - Journal of the Croatian Medical Association - Branch of Rijeka,0025-7729,,,,
Medicine,http://journals.lww.com/md-journal,,0025-7974,1536-5964,,,Any of the 6 CC licenses
Medicinski Pregled,http://www.doiserbia.nb.rs/journal.aspx?issn=0025-8105,,0025-8105,1820-7383,,,
Journal of the Meteorological Society of Japan,http://www.jstage.jst.go.jp/browse/jmsj/-char/en/,,0026-1165,2186-9057,,,
Micronesica,http://uogedu.siteprotect.net/up/micronesica/home.asp,,0026-279X,,,,CC BY-NC-ND
Minnesota Medicine,http://www.minnesotamedicine.com/,,0026-556X,,,,
Mljekarstvo,http://hrcak.srce.hr/index.php?show=casopis&id_casopis=33,Dairy,0026-704X,1846-4025,,,CC BY-ND
Moneta e Credito,http://www.monetaecredito.info,,0026-9611,2037-3651,,,
Nederduitse Gereformeerde Teologiese Tydskrif,http://ngtt.journals.ac.za,,0028-2006,2226-2385,,,
Neurology India,http://www.neurologyindia.com/,,0028-3886,1998-4022,,,CC BY-NC-SA
North Carolina Libraries,http://www.ncl.ecu.edu/index.php/NCL,,0029-2540,,,,
Nukleonika,http://www.degruyter.com/view/j/nuka,,0029-5922,,,,CC BY-NC-ND
Onderstepoort Journal of Veterinary Research,http://www.ojvr.org,,0030-2465,2219-0635,,,CC BY
Paediatrica Indonesiana,http://www.paediatricaindonesiana.org/,,0030-9311,,,,
Papéis avulsos de zoologia.,http://www.scielo.br/scielo.php/script_sci_serial/pid_0031-1049/lng_en/nrm_iso,,0031-1049,1807-0205,,,CC BY-NC
Platinum Metals Review,http://www.technology.matthey.com/about/platinum-metals-review/,,0032-1400,1471-0676,,,CC BY-NC-ND
Polish Journal of Surgery,http://www.degruyter.com/view/j/pjs,,0032-373X,,,,
Polish Archives of Internal Medicine,http://tip.org.pl/pamw,Polskie Archiwum Medycyny Wewnętrznej,0032-3772,1897-9483,,,
Postępy Higieny i Medycyny Doświadczalnej,http://www.phmd.pl,,0032-5449,1732-2693,,,
Psyche : A Journal of Entomology,http://www.hindawi.com/journals/psyche/,,0033-2615,1687-7438,,,CC BY
Psychiatria Polska,http://www.psychiatriapolska.pl,,0033-2674,,,,
Psychologica Belgica,http://www.psychologicabelgica.com/,,0033-2879,2054-670X,Yes,http://www.psychologicabelgica.com/article/view/pb.au,CC BY
RLA : Revista de Lingüística Teórica y Aplicada,http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-4883&lng=es&nrm=iso,,0033-698X,0718-4883,,,
Reinwardtia,http://e-journal.biologi.lipi.go.id/index.php/reinwardtia,"Reinwardtia: A Journal on Taxonomy Botany, Plant Sociology and Ecology",0034-365X,2337-8824,,http://e-journal.biologi.lipi.go.id/index.php/reinwardtia/about/statistics?statisticsYear=2015,CC BY-NC-SA
Revista Argentina de Cardiología,http://www.sac.org.ar/argentine-cardiology-journal/,,0034-7000,1850-3748,,,
Revista Brasileira de Anestesiologia,http://www.scielo.br/scielo.php/script_sci_serial/pid_0034-7094/lng_en/nrm_iso,,0034-7094,1806-907X,,,
Revista Brasileira de Economia,http://www.scielo.br/scielo.php/script_sci_serial/pid_0034-7140/lng_en/nrm_iso,,0034-7140,1806-9134,,,CC BY-NC
Revista Brasileira de Enfermagem,http://www.scielo.br/scielo.php?script=sci_serial&lng=pt&pid=0034-7167&nrm=iso,,0034-7167,1984-0446,,,CC BY-NC
Revista Brasileira de Estudos Pedagógicos,http://rbep.inep.gov.br/index.php/RBEP,RBEP,0034-7183,2176-6681,,,CC BY-NC
Revista Brasileira de Oftalmologia,http://www.scielo.br/scielo.php?script=sci_serial&lng=pt&pid=0034-7280&nrm=iso,,0034-7280,1982-8551,,,CC BY-NC
Revista Brasileira de Política Internacional,http://www.scielo.br/scielo.php?script=sci_serial&pid=0034-7329&lng=pt&nrm=iso,,0034-7329,1983-3121,,,CC BY-NC
Revista Ceres,http://www.scielo.br/scielo.php?script=sci_serial&pid=0034-737X&lng=en&nrm=iso,,0034-737X,2177-3491,,,
RAE : Revista de Administração de Empresas ,http://www.scielo.br/scielo.php?script=sci_serial&pid=0034-7590&lng=en&nrm=iso,,0034-7590,2178-938X,,,CC BY
Revista de Administração Pública,http://www.scielo.br/scielo.php?script=sci_serial&pid=0034-7612&lng=en&nrm=iso,RAP,0034-7612,,,,CC BY-NC
Revista de Dialectología y Tradiciones Populares,http://rdtp.revistas.csic.es,,0034-7981,1988-8457,,,CC BY-NC
Revista de Filosofía,http://www.revistafilosofia.uchile.cl,,0034-8236,0718-4360,,,CC BY-NC-ND
Revista de Indias,http://revistadeindias.revistas.csic.es,,0034-8341,1988-3188,,,CC BY-NC
Revista de Literatura,http://revistadeliteratura.revistas.csic.es/,,0034-849X,1988-4192,,,CC BY-NC
Revista de Metalurgia,http://revistademetalurgia.revistas.csic.es,,0034-8570,1988-4222,,,CC BY-NC
Revista de Saúde Pública,http://www.scielo.br/scielo.php?script=sci_serial&pid=0034-8910&lng=en&nrm=iso,,0034-8910,1518-8787,,,CC BY-NC
Revista Internacional de Sociología,http://revintsociologia.revistas.csic.es,,0034-9712,1988-429X,,,CC BY-NC
Revue de Géographie Alpine ,http://rga.revues.org/,Journal of Alpine Research,0035-1121,1760-7426,,,
Revue Historique des Armées,http://rha.revues.org/ ,Revue Historique des Armees,0035-3299,1965-0779,,,
Rivista Italiana di Ornitologia - Research in Ornithology ,http://sisn.pagepress.org/index.php/rio/index,RIO,0035-6875,2385-0833,Yes,http://sisn.pagepress.org/index.php/rio/pages/view/stats,CC BY-NC
